%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1592874836524985426,1811,1592874836524879606,imu_link,0.00109645775876,0.00383380306089,0.882795721305,0.469740156022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00310191451264,-0.00103007533078,0.0012158453794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00486515235389,-0.0575796755962,-9.81265799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836535036174,1812,1592874836534884357,imu_link,0.00111349217682,0.00383036176005,0.882810725352,0.469711945417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00307982692054,-0.00236598714228,0.00975082719213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072674849187,-0.0551670592278,-9.81262061596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836545327558,1813,1592874836545164188,imu_link,0.00112319656236,0.00383209830123,0.88281713277,0.469699865383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00308928192255,-0.00109538207388,0.00610228508646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120909806807,-0.0574825145304,-9.8199280262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836555405357,1814,1592874836555244202,imu_link,0.00111840581277,0.00384578995347,0.882812189165,0.469709056471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00432361624564,0.00141311812521,0.00125160910981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0241340311244,-0.0524952006526,-9.83198087215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836565077970,1815,1592874836564910082,imu_link,0.00111720948207,0.00385056034673,0.882803316176,0.469725696525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00310187888246,0.000191539521143,0.00123210964733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217379733454,-0.0524626310915,-9.83441901207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836575314278,1816,1592874836575111645,imu_link,0.00112798732964,0.00386399346604,0.882774359984,0.469779976748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00556740323008,-0.000915881246855,-0.00732924864317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0193356316537,-0.0548752292059,-9.83445756435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836585069949,1817,1592874836584900939,imu_link,0.0010899114875,0.0038811956372,0.882777390127,0.469774230768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00186751660137,0.00867763830053,0.00622966064734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145246837521,-0.052494872082,-9.83200540543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836595334351,1818,1592874836594938361,imu_link,0.00107981206212,0.00387109510926,0.88277148939,0.469785425646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005664839425,0.00139696152804,0.0024605291001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121348973364,-0.0548425227404,-9.83690505028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836605096693,1819,1592874836604891455,imu_link,0.00109093407222,0.00387185429074,0.882742619662,0.469839638642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003123922522,-0.000915803939762,-0.00733561734319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00730512564769,-0.0573849336244,-9.82723076344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836615061268,1820,1592874836614867682,imu_link,0.00107403572827,0.00389565820983,0.882736994899,0.46985004856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00432041004939,0.00628327600932,0.00253840627552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00727375742281,-0.0599599733949,-9.81511366367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836625052403,1821,1592874836624874587,imu_link,0.00109022726572,0.00386750948538,0.882733817817,0.469856212747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00179138725544,-0.00472743910851,0.00359730616367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00966355239507,-0.0600250121206,-9.8102478981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836635089645,1822,1592874836634866724,imu_link,0.00111532484123,0.00385300869668,0.88271021426,0.469900615041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00189901927408,-0.00581858509182,-0.00618251125317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168517394224,-0.0552972735837,-9.80287623405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836645519351,1823,1592874836645300227,imu_link,0.00110040217714,0.00383119325652,0.882681241319,0.469955250313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00298159008681,0.00032234239021,-0.00855674951342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0192415281199,-0.0529496229254,-9.79797775745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836655175132,1824,1592874836654876777,imu_link,0.00111291302477,0.00380479297136,0.88267210574,0.469972593587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000560226814363,-0.00590012099282,-8.07627813125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288696941454,-0.0456144804135,-9.80514497757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836665091084,1825,1592874836664867992,imu_link,0.00108291819275,0.00378484879862,0.882680537172,0.469956988996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00302261993215,0.00133174802159,0.007340568118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0384978647344,-0.0406919679604,-9.81234607697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836675132355,1826,1592874836674867023,imu_link,0.00106204037075,0.00379030888968,0.882680346228,0.469957351269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00187373978981,0.00260218456183,0.00370464273789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337182873394,-0.0453873331659,-9.82214186192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1592874836685098272,1827,1592874836684892653,imu_link,0.00108821571218,0.00380629918627,0.882682694962,0.469952750697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00797921026658,-0.00474407346221,0.00484406215658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0337308300659,-0.0477350705303,-9.82703332901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
